Project_ID,Repository_URL,Language,Framework,Team_Size,Lines_of_Code,Commit_Count,Contributors,Bug_Count,Security_Vulnerabilities,Code_Coverage_Percent,Cyclomatic_Complexity_Avg,Technical_Debt_Hours,Build_Time_Minutes,Test_Count,Performance_Score,Maintainability_Index,Documentation_Coverage_Percent,Code_Duplication_Percent,Developer_Experience_Years_Avg,CI_CD_Pipeline,Deployment_Frequency,Lead_Time_Hours,Recovery_Time_Minutes,License_Type,Open_Source,Star_Count,Fork_Count,Issue_Count_Open,PR_Merge_Rate_Percent,Code_Review_Time_Hours_Avg,Test_Automation_Percent,Dependency_Count,Outdated_Dependencies_Count,Container_Usage,Cloud_Platform,Monitoring_Tools_Count,Security_Scan_Score,Performance_Benchmark_MS,Memory_Usage_MB_Avg,CPU_Usage_Percent_Avg
SE_001,github.com/techcorp/webapp-frontend,TypeScript,React,8,125000,2340,12,89,3,87.5,4.2,156,12,890,8.7,72,85,5.2,6.8,GitHub_Actions,Daily,8,15,MIT,Yes,1240,89,23,92,2.1,95,67,8,Docker,AWS,5,9.2,245,512,12.5
SE_002,github.com/fintech/payment-api,Python,FastAPI,15,89000,3450,18,45,1,92.1,3.8,89,8,1200,9.1,78,92,3.1,8.2,GitLab_CI,Multiple_Daily,4,8,Apache_2.0,Yes,2340,156,12,95,1.8,98,123,15,Kubernetes,GCP,8,9.5,123,256,8.9
SE_003,bitbucket.org/enterprise/crm-system,Java,Spring_Boot,25,234000,5670,28,156,8,78.9,5.6,345,25,2100,7.8,68,72,8.9,9.5,Jenkins,Weekly,24,45,Proprietary,No,0,0,89,88,4.2,85,234,45,Docker,Azure,6,7.8,567,1024,18.7
SE_004,github.com/startup/mobile-app,Dart,Flutter,6,67000,1890,8,34,2,85.2,4.1,123,15,567,8.5,75,68,6.8,4.2,CircleCI,Daily,6,12,BSD_3,Yes,890,67,45,90,2.8,92,89,12,None,Firebase,3,8.9,189,128,6.5
SE_005,gitlab.com/opensource/data-pipeline,Python,Apache_Airflow,12,156000,4230,22,78,5,89.7,4.8,234,18,1456,8.9,81,88,4.5,7.8,GitLab_CI,Daily,5,10,GPL_3.0,Yes,3450,234,34,94,1.9,96,187,23,Docker,AWS,7,9.1,345,768,15.2
SE_006,github.com/gamedev/unity-rpg,C#,Unity,18,345000,6780,35,234,12,72.4,6.2,567,35,2890,7.2,65,58,12.4,6.7,Azure_DevOps,Bi_Weekly,48,90,Unity_License,No,12500,567,156,85,5.1,78,456,67,None,Unity_Cloud,4,7.5,234,2048,25.8
SE_007,github.com/ai-research/ml-framework,Python,PyTorch,10,198000,3890,15,67,3,91.3,3.9,167,22,1678,9.3,82,94,2.8,8.9,GitHub_Actions,Daily,3,6,MIT,Yes,8900,445,78,96,1.5,99,298,34,Docker,GCP,9,9.6,456,1536,22.3
SE_008,bitbucket.org/corp/inventory-mgmt,PHP,Laravel,14,123000,2890,19,89,6,83.6,5.1,289,20,1234,8.1,71,76,7.3,7.5,Bitbucket_Pipelines,Weekly,16,30,Proprietary,No,0,0,67,87,3.4,88,156,28,Docker,AWS,5,8.2,345,512,14.6
SE_009,github.com/blockchain/defi-protocol,Solidity,Hardhat,8,45000,1567,12,23,15,65.8,7.8,89,8,345,6.8,58,45,15.6,5.2,GitHub_Actions,Multiple_Daily,2,5,MIT,Yes,2300,189,89,93,1.2,85,67,23,None,Ethereum,3,6.2,123,64,8.9
SE_010,gitlab.com/healthtech/patient-portal,Vue.js,Nuxt.js,9,89000,2345,11,56,4,88.9,4.3,145,14,789,8.6,76,81,4.7,6.8,GitLab_CI,Daily,7,18,AGPL_3.0,Yes,567,45,34,91,2.3,94,98,16,Docker,Azure,6,8.8,267,384,11.2
SE_011,github.com/ecommerce/marketplace,Ruby,Rails,20,178000,4560,24,123,7,81.2,5.4,378,28,1567,7.9,69,74,9.1,8.1,GitHub_Actions,Daily,12,25,MIT,Yes,1890,123,67,89,3.1,87,189,31,Kubernetes,AWS,7,8.4,389,896,16.8
SE_012,azure-devops.visualstudio.com/corp/accounting,C#,.NET_Core,16,156000,3678,21,98,5,86.7,4.7,267,18,1345,8.4,73,79,6.2,7.9,Azure_DevOps,Weekly,18,22,Proprietary,No,0,0,78,86,2.9,90,134,22,Docker,Azure,8,8.7,234,640,13.5
SE_013,github.com/iot/sensor-network,C++,Qt,7,98000,2123,9,67,9,76.3,6.1,198,32,567,7.6,67,62,11.3,9.2,Jenkins,Bi_Weekly,36,60,Apache_2.0,Yes,345,23,45,84,4.8,82,78,18,None,AWS_IoT,4,7.9,145,256,28.7
SE_014,github.com/social/messaging-app,Kotlin,Android,12,134000,3234,16,89,6,84.5,4.9,234,16,1123,8.2,74,77,6.8,6.2,GitHub_Actions,Daily,8,14,Apache_2.0,Yes,4560,289,89,92,2.4,93,167,25,Docker,Firebase,5,8.6,178,448,9.8
SE_015,gitlab.com/fintech/trading-platform,Go,Gin,22,289000,5890,31,178,11,79.8,5.8,456,22,2345,7.7,66,71,8.7,8.8,GitLab_CI,Multiple_Daily,3,7,Proprietary,No,0,0,134,91,2.1,89,234,42,Kubernetes,GCP,9,8.1,89,512,19.6
SE_016,github.com/analytics/dashboard,JavaScript,D3.js,5,56000,1678,7,34,2,90.4,3.7,98,10,456,8.9,79,86,3.4,5.8,Netlify,Daily,4,8,MIT,Yes,1234,78,23,94,1.7,96,89,11,None,Vercel,3,9.3,234,192,7.2
SE_017,bitbucket.org/manufacturing/erp,Java,Spring,28,456000,7890,42,289,18,74.2,6.7,678,45,3456,7.1,63,69,13.2,10.2,Jenkins,Weekly,32,75,Proprietary,No,0,0,234,82,5.6,76,345,78,Docker,On_Premise,4,7.2,567,2048,31.5
SE_018,github.com/education/lms,PHP,Symfony,11,167000,3567,18,98,8,82.1,5.2,312,24,1456,8.0,70,73,7.9,7.1,GitHub_Actions,Weekly,14,28,GPL_3.0,Yes,2890,167,56,88,3.2,86,178,29,Docker,AWS,6,8.3,298,768,17.4
SE_019,github.com/climate/monitoring-station,Python,Django,13,123000,2890,17,67,4,87.8,4.4,189,16,1234,8.7,77,83,5.1,7.6,GitHub_Actions,Daily,6,12,Apache_2.0,Yes,1567,98,34,93,2.0,95,134,19,Docker,GCP,7,9.0,123,384,12.8
SE_020,azure-devops.visualstudio.com/retail/pos-system,C#,WPF,19,234000,4567,26,156,9,78.9,5.9,389,38,1890,7.8,68,65,10.4,8.4,Azure_DevOps,Weekly,20,35,Proprietary,No,0,0,123,85,4.1,83,189,35,None,Azure,5,7.7,345,1024,22.6
SE_021,github.com/transport/route-optimizer,Python,Flask,8,89000,2234,12,45,3,89.5,4.0,134,12,890,8.8,78,89,4.2,6.9,GitHub_Actions,Daily,5,10,MIT,Yes,789,56,28,94,1.8,97,123,17,Docker,AWS,6,9.2,167,320,11.5
SE_022,gitlab.com/media/streaming-service,Node.js,Express,24,298000,6234,38,189,13,76.7,6.3,567,42,2567,7.4,64,67,11.8,7.8,GitLab_CI,Multiple_Daily,4,9,Proprietary,No,0,0,178,89,2.7,84,267,48,Kubernetes,AWS,8,7.6,234,1536,26.3
